# 智能音箱 维护保养200条（纯保养维度，分通用基础/音质专属/带屏专属/便携专属/配件专项/环境适配/长期存放/故障预防，覆盖全机型日常维护）
## 通用基础维护（50条）
46. 避免将音箱放在强磁场物体（如微波炉、变压器）旁。
47. 每月检查机身有无裂纹，特别是接口处。
48. 若支持TF卡，定期清理卡内无用文件。
49. 避免在音箱工作时拍打机身，防止内部排线松动。
50. 日常遵循“轻用、防尘、防潮、防摔”原则。

## 音质专属维护（30条）
1. 每周清理扬声器网罩，使用软毛刷从中心向外刷，避免灰尘进入内部。
2. 每月检查被动振膜（若有），无破损、变形。
3. 避免大音量连续播放超过3小时，防止音圈过热。
4. 若出现破音，立即降低音量，检查是否有异物进入网罩。
5. 每月测试左右声道（立体声组合），确保平衡。
6. 避免将音箱放在墙角或贴墙过近（距离＞10cm），防止低音浑浊。
7. 每周检查音效预设，确保未被重置。
8. 若支持EQ调节，避免过度提升低频/高频，防止失真。
9. 每月用专业测试音频（20Hz-20kHz）扫频，检查是否有异常谐振。
10. 避免音箱与硬物（如玻璃）直接接触，防止反射声干扰。
11. 若音箱支持外接低音炮，检查连接线是否牢固。
12. 每周清理倒相孔（若有），用吸尘器吸除灰尘。
13. 避免在回音严重的房间（如浴室瓷砖）使用，可开启“空间校准”。
14. 每月检查扬声器振膜，无凹陷、破损。
15. 若音箱支持有线连接，优先使用AUX/光纤，保证音质。
16. 避免在音箱附近放置振动源（如冰箱、洗衣机）。
17. 每周检查蓝牙编解码器设置（如AAC/SBC），优先使用高品质。
18. 若支持高解析度音频，确保播放源和连接方式均支持。
19. 每月清洁音频输入接口，防止氧化导致接触不良。
20. 避免使用劣质音频线，防止引入噪音。
21. 若音箱支持多房间同步，检查网络延迟，确保同步精准。
22. 每周用干布擦拭扬声器纸盆（若有外露），防止积灰。
23. 避免将音箱放在软垫上，防止低音被吸收。
24. 每月检查防尘罩（可拆卸），若有变形及时更换。
25. 若支持夜间模式，开启后降低动态范围，保护听力。
26. 避免在音箱工作时移动，防止产生杂音。
27. 每周检查声音是否发闷，可能是网罩堵塞或单元故障。
28. 若支持语音增强功能，在听新闻/播客时开启。
29. 每月校准一次立体声对（若有），使用APP中的对齐工具。
30. 避免将两个立体声音箱左右距离过近（建议＞1米），影响声场。

## 带屏专属维护（20条）
1. 每日用眼镜布擦拭屏幕，避免使用含酒精的湿巾，防止涂层脱落。
2. 每周检查屏幕亮度设置，避免最高亮度长时间显示静态画面（防烧屏）。
3. 若支持自动亮度，确保光线传感器未被遮挡。
4. 每月清洁屏幕边缘缝隙，用软刷清除灰尘。
5. 避免屏幕受到撞击，防止碎裂。
6. 若贴膜，每月检查是否有气泡，及时更换。
7. 每周清理摄像头（若有），用干布轻擦，保证视频通话清晰。
8. 避免在阳光直射下使用，防止屏幕反射看不清且加速老化。
9. 每月检查触摸灵敏度，若有漂移，重启或校准。
10. 若支持手势控制，定期清洁摄像头区域。
11. 避免屏幕长时间播放静止画面（如时钟），可开启屏保。
12. 每周检查系统字体大小，确保适合观看距离。
13. 若屏幕有坏点，及时联系售后（保修期内免费换屏）。
14. 避免用尖锐物体触碰屏幕，防止划伤。
15. 每月检查屏幕与机身连接处，无裂缝。
16. 若支持分屏功能，避免同时运行过多任务导致卡顿。
17. 每周清理屏幕背面（机身），防止积灰。
18. 避免将带屏音箱放在儿童容易拿到的地方，防止摔碎。
19. 每月检查屏幕支架（若可调节），无松动。
20. 若支持熄屏显示，避免长时间显示同一图案（OLED）。

## 便携款专属维护（20条）
1. 每周检查电池电量，避免长期低于20%或高于90%存放。
2. 每月进行一次完整充放电，校准电池电量显示。
3. 避免在高温（＞35℃）环境下充电，防止电池鼓包。
4. 若长期不用，将电池充至60%存放，每3个月补电一次。
5. 每周清理充电接口（Type-C/Micro-USB），用牙签挑出灰尘。
6. 避免使用快充头（除非支持），防止电池加速老化。
7. 若支持无线充电，检查线圈对齐，避免金属异物。
8. 每月检查电池健康度，续航低于新机50%则更换。
9. 避免在淋雨或浸水后未干燥就充电。
10. 每周检查挂绳/提手，无磨损断裂。
11. 若支持IP防护，定期检查密封胶圈，无老化。
12. 避免将便携音箱放在烈日下的车内，防止高温爆炸。
13. 每月清洁扬声器防水网罩，防止堵塞影响音质。
14. 若支持TWS双联，定期检查配对记录，清理无用设备。
15. 避免跌落，防止内部电池松动或外壳开裂。
16. 每周检查电量指示灯，确保工作正常。
17. 若支持USB输出（充电宝功能），避免过放。
18. 每月检查蓝牙天线区域，无遮挡，保证连接距离。
19. 避免在潮湿环境下使用后直接放入包内，应晾干。
20. 若支持户外模式，使用时开启可提升音量/降低低音。

## 配件专项维护（20条）
1. 电源适配器：每周检查线材有无破损，插头有无发热，保持干燥。
2. 遥控器（若有）：每月清洁触点，更换电池时避免漏液。
3. 音频线：避免弯折，每月用酒精擦拭插头。
4. 挂墙支架：每3个月检查膨胀螺丝是否松动，重新拧紧。
5. 防尘罩：每月清洗一次（可水洗），晾干后使用。
6. 备用电池：每3个月充放电一次，存放于阴凉干燥处。
7. 蓝牙发射器：避免长时间插电，防止过热。
8. 收纳包/盒：保持清洁，无尖锐物，防止划伤音箱。
9. 屏幕贴膜：每6个月更换，防止划痕影响观感。
10. 防滑脚垫：若脱落，用3M胶重新粘贴，或购买替换装。
11. USB声卡：定期清理接口，避免金手指氧化。
12. TF卡：每月整理文件，避免碎片过多影响读取速度。
13. 充电底座：每周清洁触点，用橡皮擦擦拭。
14. 麦克风防尘海绵（若有）：每月清洗，晾干后装回。
15. 线材收纳带：避免过紧缠绕，防止线芯断裂。
16. 便携挂扣：检查弹簧是否生锈，必要时更换。
17. 散热底座（游戏款）：每3个月清理风扇灰尘。
18. 保护壳：每月取下清理内部灰尘，防止磨损机身。
19. 磁吸配件：检查磁力是否衰减，避免高温。
20. 所有配件优先使用原厂，防止兼容性问题。

## 环境适配维护（20条）
1. 厨房环境：每月用湿布擦拭机身，防止油污附着，可使用防油罩。
2. 浴室环境：仅限IPX7以上机型，使用后擦干，避免水蒸气长期接触。
3. 卧室环境：开启夜间模式，降低指示灯亮度，避免影响睡眠。
4. 书房环境：保持低音量（＜50%），使用桌面支架减少共振。
5. 客厅环境：避免放在电视柜共振腔内，可加装减震垫。
6. 户外环境：使用后清理沙尘，检查防水塞是否盖紧。
7. 车内环境：避免暴晒，使用防滑垫，下车时带走。
8. 办公室环境：保持低音量，勿打扰他人，可连接耳机。
9. 宿舍环境：使用减震脚垫，避免低音传至楼下。
10. 多尘环境（如工地附近）：每日用防尘布遮盖，每周深度清洁。
11. 潮湿环境（南方回南天）：每日开机1小时驱潮，或放置干燥剂。
12. 干燥环境（北方冬季）：防静电，触摸金属放电后再操作。
13. 高海拔环境：散热效率降低，避免长时间大音量播放。
14. 强电磁环境（机房附近）：使用屏蔽网线，远离大型设备。
15. 婴儿房：开启音量限制（＜60dB），将音箱放在婴儿触及不到处。
16. 宠物活动区：电源线使用保护套，机身可加装防咬金属网。
17. 阳台：避免阳光直射，防止雨水溅射，不用时收回室内。
18. 仓库/地下室：注意防潮防虫，定期通风。
19. 录音棚/直播间：关闭所有音效，使用AUX有线连接，避免无线干扰。
20. 展会/公共场所：使用防盗支架，设置管理员密码，防止误操作。

## 长期存放维护（20条）
1. 存放前，将电池充至60%-80%（便携款），避免亏电或满电。
2. 全面清洁机身、网罩、接口、屏幕，无灰尘污渍。
3. 拆卸可分离配件（如防尘罩、线材），单独存放。
4. 存放于阴凉、干燥、通风处，温度5-35℃，湿度＜60%。
5. 避免与腐蚀性物品、尖锐物共同存放。
6. 存放时用原包装或防静电袋包裹，放入干燥剂。
7. 每1-2个月通电一次，开机运行30分钟，驱潮并激活电池。
8. 若长期不用，可从APP中解绑设备，但保留账号。
9. 屏幕（带屏款）贴保护膜，防止划伤。
10. 电源线缠绕整齐，避免打死结。
11. 避免重物堆压，防止外壳变形。
12. 存放前升级至最新固件，避免旧版Bug。
13. 若存放于地下室，每月检查是否受潮。
14. 重新启用前，检查电池有无鼓包，接口有无氧化。
15. 重新启用后，恢复出厂设置，重新配网。
16. 若存放超过1年，建议更换内置电池（便携款）。
17. 避免存放于阳光直射的车内。
18. 存放时，将音量调至最低，防止意外通电巨响。
19. 若支持NFC，避免靠近强磁卡（如房卡）。
20. 记录存放日期，设置半年后提醒维护。

## 故障预防维护（20条）
1. 定期更新固件和APP，修复已知Bug，优化性能。
2. 避免长时间（＞8小时）连续大音量播放，防止功放过热。
3. 使用前检查电源线、插头，防止短路起火。
4. 按照官方建议摆放，避免封闭空间、紧贴墙面。
5. 每季度检查一次所有线缆，无破损老化。
6. 避免在雷雨天气使用（非防雷机型），拔掉电源。
7. 若发现异响、异味、过热，立即停机检查。
8. 不要自行拆解，内部有高压电容。
9. 使用原装配件，防止电压电流不匹配。
10. 避免用湿手插拔电源。
11. 若音箱进水，断电后放入米缸24小时，切勿开机。
12. 定期清理APP缓存，防止指令发送失败。
13. 避免在电压不稳的地区使用，可加装稳压器。
14. 若支持防尘盖，不使用时盖好接口。
15. 每半年检查一次电池健康（便携款），提前更换。
16. 避免将音箱暴露在极端温度（＞50℃或＜-10℃）。
17. 若连接Wi-Fi，设置固定IP，避免IP冲突。
18. 避免在多音箱环境中使用相同唤醒词，防止混乱。
19. 若经常移动，购买保护套，减少磕碰。
20. 建立维护档案，记录清洁、固件升级、配件更换日期。
